timestamp,head_x,head_y,head_z,neck_x,neck_y,neck_z,spine_x,spine_y,spine_z,pelvis_x,pelvis_y,pelvis_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_elbow_x,right_elbow_y,right_elbow_z,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_ankle_x,left_ankle_y,left_ankle_z,right_ankle_x,right_ankle_y,right_ankle_z
0.032103776931762695,-0.006420493125915527,-0.25821453332901,-0.11473324213875458,-0.008441239595413208,-0.18725982308387756,0.022661396593321115,-0.004220619797706604,-0.09362991154193878,0.011330698296660557,0.0,0.0,0.0,0.025786936283111572,-0.19240036606788635,0.02371193963335827,-0.04266941547393799,-0.18211928009986877,0.02161085355328396,0.04938530921936035,-0.12070688605308533,0.04978493909584358,-0.0644041895866394,-0.10359421372413635,0.008203819685149938,0.07372426986694336,-0.07926437258720398,-0.025195327296387404,-0.08687788248062134,-0.07499846816062927,-0.10110607062233612,0.019311130046844482,-0.004019886255264282,0.0016378256841562688,-0.019311130046844482,0.004019886255264282,-0.0016378256841562688,0.03208249807357788,0.13759467005729675,-0.009930246218573302,-0.022722601890563965,0.14372828602790833,-0.017595304816495627,0.02997201681137085,0.26042410731315613,0.09106679196702316,-0.0171087384223938,0.27398380637168884,0.07978419150458649
0.09091567993164062,-0.0015121042728424294,-0.25455521345138543,-0.09722072524600663,-0.006148648262023992,-0.18549168407917022,0.03649623053497635,-0.0030743241310119407,-0.09274584203958514,0.018248115267488173,0.0,0.0,0.0,0.027947777509689353,-0.19065621495246887,0.03314248355454766,-0.04024507403373723,-0.18032715320587156,0.03984997751540505,0.05082685351371763,-0.12020615339279173,0.02799206892377697,-0.06515733599662787,-0.10546237230300903,0.006539945531403646,0.07434784770011904,-0.0866504788398742,-0.09594132048659958,-0.08771196007728588,-0.08311724662780762,-0.1251333762484137,0.0190377056598664,-0.003960716724395796,0.0011027877975720913,-0.0190377056598664,0.003960716724395796,-0.0011027877975720913,0.02966977953910821,0.13657927513122559,-0.011279096879297868,-0.022893065214157127,0.14279600381851199,-0.017933122493559495,0.02695483565330503,0.260396945476532,0.08451102035469375,-0.016570347547531172,0.2731491565704346,0.07333802836365068
0.12419986724853516,0.0019644105434417636,-0.25178821802139273,-0.09099158086930402,-0.003962569236755309,-0.18331334412097933,0.042121169333113356,-0.0019812846183776545,-0.09165667206048966,0.021060584666556678,0.0,0.0,0.0,0.030379918813705498,-0.18870689272880548,0.03725292107905261,-0.038305057287216226,-0.17791979551315307,0.04698941758717411,0.05244584918022155,-0.1198383116722106,0.0029789896577131023,-0.06244568705558784,-0.10434088706970213,0.004532080142525956,0.07465596556663512,-0.09496773004531855,-0.14313818910275586,-0.08590711951255803,-0.0869141459465026,-0.14004969217930918,0.019040452241897654,-0.0036826324462890803,0.0007629093562718482,-0.019040452241897654,0.0036826324462890803,-0.0007629093562718482,0.02703249573707578,0.13550939559936526,-0.009132096815155819,-0.023303142786025965,0.14194140195846572,-0.017069057311164218,0.023780544996261588,0.25999072313308724,0.0845405559882056,-0.016923154592514145,0.2726005768775941,0.07139241478289478
0.15694379806518555,0.0037795565128326825,-0.25100700426101685,-0.08944295725796837,-0.0023568422794341126,-0.1816994564533233,0.044993452364462436,-0.0011784211397170008,-0.0908497282266616,0.022496726182231214,0.0,0.0,0.0,0.03208494687080399,-0.18702313423156736,0.04128696816589218,-0.03679863142967221,-0.17637577867507925,0.04869993656303269,0.05424232697486886,-0.11846079206466675,-0.008324549859506076,-0.05517048907279953,-0.09982356071472165,0.0024833970320178194,0.07539372467994698,-0.10249436187744143,-0.15890488193009517,-0.07179148316383355,-0.08508987188339234,-0.1495315000769915,0.0192352063655854,-0.0032948808670043572,0.0005587958105606958,-0.01923520636558529,0.0032948808670043572,-0.0005587958105606958,0.024816042661666926,0.13499647140502935,-0.0058071122338296845,-0.023909738302230754,0.14059523487091075,-0.015655555164557883,0.021374180078506555,0.25964949178695684,0.08620092221524102,-0.018022219419479235,0.2719895067214967,0.07115140166308266
0.19089984893798828,0.0049500390529632066,-0.2503330821514129,-0.09153507450530306,-0.001204323816299424,-0.18062167234420767,0.043938480701949445,-0.0006021619081497676,-0.09031083617210389,0.021969240350974726,0.0,0.0,0.0,0.03334624371528627,-0.18568716096878046,0.04119091254761442,-0.03575489134788512,-0.17555618371963488,0.04668604885628447,0.05603369441032413,-0.11540692558288568,-0.013564324724767356,-0.052526628065109215,-0.09475080823898319,-0.002231662653107196,0.07624747881889338,-0.10697032327651979,-0.1646483586520888,-0.06854287314414975,-0.09140911483764647,-0.1618573323697783,0.019411741781234726,-0.002802680206298813,0.0005146589287556708,-0.019411741781234726,0.002802680206298813,-0.0005146589287556708,0.02322836775779724,0.13467414283752444,-0.0022615321449469777,-0.02476688847541819,0.13919745979309095,-0.01218729147175327,0.019758498334884633,0.259375992012024,0.09087914558937774,-0.01915063662528993,0.27068914661407484,0.07120845363428817
0.2241978645324707,0.005163440093994165,-0.2506470725822448,-0.09478625352491625,-0.0005645203781127206,-0.18036189821243276,0.040994966550571846,-0.0002822601890563048,-0.09018094910621643,0.02049748327528592,0.0,0.0,0.0,0.0341955335998535,-0.18522263426780694,0.039367089254958555,-0.03532457435607905,-0.17550116215705858,0.042622843846185136,0.057259163722992,-0.11390680476188653,-0.018646535570519044,-0.05256490909576417,-0.092317605638504,-0.006982511298106983,0.07747816852569589,-0.11046707556724544,-0.17480869850267655,-0.07153666229248046,-0.09873948607444749,-0.1678661455594469,0.01948509180068969,-0.00226292422294605,0.000799371693758294,-0.01948509180068969,0.002262924222946161,-0.000799371693758294,0.022038956718444802,0.1348823293209076,-0.00178740249610506,-0.025488744678497377,0.1384737157726289,-0.010258085127966478,0.018629660472869847,0.25942553980827343,0.10195181128869764,-0.020736416988372808,0.2677343614482881,0.08559871050487272
0.25607800483703613,0.005115816587448085,-0.25099209133338934,-0.09961442178463378,-0.00011471105384830427,-0.18030396162223816,0.03671234903836809,-5.735552692409662e-05,-0.09015198081111908,0.018356174519184046,0.0,0.0,0.0,0.03458737381553645,-0.18488710268020636,0.035328434263473374,-0.03481679592323306,-0.17572082056427007,0.0380962638132628,0.058044269269943216,-0.11270452898406991,-0.024824174390787258,-0.053482892129897985,-0.09199071908950818,-0.010417615259701385,0.07843673750495916,-0.11255015105438237,-0.18725358597587982,-0.07404143298149113,-0.10628451551437379,-0.1707219287493173,0.01948147640037534,-0.0018368975753784156,0.0009269022238012403,-0.019481476400375453,0.0018368975753784156,-0.0009269022238012403,0.0210888883419037,0.13476538595199572,-0.0028124551012236624,-0.026339946390151914,0.13809407806015006,-0.009692033620709554,0.01771615952873229,0.2592970685310363,0.10507067039752564,-0.023079636022567795,0.26521976501083366,0.09175799673057161
0.2932248115539551,0.005251262424087577,-0.2508810289047242,-0.09485264359041602,0.000764053293991207,-0.18001247667770393,0.03867743954566569,0.0003820266469956035,-0.09000623833885202,0.019338719772832844,0.0,0.0,0.0,0.03492313841285721,-0.1842186297721864,0.03778181599038691,-0.0333950318248748,-0.17580632358322146,0.03957306310094446,0.058256780936813524,-0.11159962956771863,-0.02372431594725996,-0.05284815510673513,-0.0920827308692933,-0.010403333461631834,0.07932656615867628,-0.11308733689956674,-0.17970551787411126,-0.07442460928153982,-0.1122963374671937,-0.16571711099831016,0.019383578004074198,-0.001295948681640624,0.0011595278384923934,-0.019383578004074087,0.001295948681640624,-0.0011595278384923934,0.020503332255172868,0.13498929713821406,-0.0025259052222803237,-0.027016847610854988,0.13744626464691156,-0.008991860883094371,0.017095627429580817,0.25975851838378894,0.10527307759049981,-0.025770122736740064,0.2642059870971678,0.09222230738767237
0.3274838924407959,0.005088879202880814,-0.2506004801329803,-0.09524616760061876,0.0012468978678894516,-0.17938023695747374,0.03836369391685829,0.0006234489339447258,-0.08969011847873687,0.01918184695842914,0.0,0.0,0.0,0.03495096055389413,-0.18329792601852413,0.037646363762878034,-0.032457164818115225,-0.17546254789642335,0.03908102407083855,0.05777335398773198,-0.11062473275131224,-0.022866028569494636,-0.05252704413955689,-0.0941252914825439,-0.01046265103966847,0.08009003245788582,-0.1131501836306763,-0.17815875870222705,-0.07536886324005121,-0.11691489004364009,-0.16549899384848255,0.01926801145141599,-0.0007898190249633341,0.0013477360149963201,-0.01926801145141599,0.0007898190249633341,-0.0013477360149963201,0.020078297471160966,0.1347129367774964,-0.00031078599369987873,-0.02844290704742425,0.13478863645492556,-0.008103183056048303,0.016774047232666067,0.26037657906448364,0.09874486050340041,-0.028489849936981115,0.26203282866531374,0.08598950310300217
0.3622410297393799,0.004732673778167662,-0.2502311619495087,-0.09674011965179743,0.0015291386809234142,-0.17901475981633008,0.037467788192598196,0.0007645693404616516,-0.08950737990816504,0.018733894096299098,0.0,0.0,0.0,0.03474801336813349,-0.18254326336776738,0.03580731812863431,-0.03168973600628666,-0.17548625626489267,0.03912825825656208,0.05755924079171759,-0.10997692433145145,-0.022910837016103892,-0.051853753694793725,-0.09710811010040288,-0.010349421055972249,0.08117933926565546,-0.11387798955944828,-0.17576102842549052,-0.07557315106994622,-0.12206121358581545,-0.16502394643380658,0.019204439878723112,-0.0005214921088867452,0.0013484977402771414,-0.019204439878723112,0.0005214921088866342,-0.0013484977402771414,0.019814477767608696,0.13473875613952635,-8.016286222225435e-05,-0.030385012512267995,0.13285519047140504,-0.00787316575592652,0.016785712566772526,0.2607382084919433,0.09434064441688236,-0.031509181647308315,0.25914657987615963,0.08284154471491323
