timestamp,head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_elbow_x,right_elbow_y,right_elbow_z,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_ankle_x,left_ankle_y,left_ankle_z,right_ankle_x,right_ankle_y,right_ankle_z
0.07583737373352051,-0.09193609114570034,-1.5936000797833305,-0.8485805806877649,0.1703056200900157,-1.1883243551418725,-0.3349850844956694,-0.22971472701737217,-1.1337847474312246,-0.15052635803488146,0.32389015135897115,-0.915474654162852,-0.476668231586195,-0.3602626200324165,-0.907922122472961,-0.5247149472306374,0.3587530926436797,-0.9295841307343611,-0.560019456203522,-0.33099462366770527,-0.878257617556033,-1.164656524857565,0.1404634793113273,-0.0014808388774181225,-0.15638465156345288,-0.1404634793113273,0.0014808388774176784,0.15638465156345288,0.11580689449076986,0.5902526924178892,-0.3884816279383846,-0.2269278834591446,0.5311242896772557,-0.17068218550047942,0.14011651185274854,1.4046655282203426,0.15366838480927858,-0.12684322143938614,1.3546150465165958,0.19149260955049574
0.14092326164245605,-0.14007272504203566,-1.6537236274753133,-0.8825754271889702,0.15782788811359716,-1.2864226671284653,-0.3467882125225567,-0.26083635910872194,-1.1462889338769697,-0.0703419898586164,0.28673116635375373,-0.9906157735685222,-0.6046286137499718,-0.33843641979717687,-0.8439744844414547,-0.4639100553540469,0.23125269117238578,-0.9928750455737736,-0.7498011262638337,-0.295277101900859,-0.8614795864434948,-1.17940010627138,0.15049463230413607,-0.005426033823672238,-0.17843034156238524,-0.15049463230413607,0.005426033823672238,0.17843034156238524,0.15368516524221554,0.756103012926018,-0.5619375570763091,-0.20710428040544743,0.7145559532824013,-0.10608373775466946,0.19540254436779314,1.6500425571133328,0.011130936367902411,-0.08312952218590763,1.6243987377228493,0.12480908478098703
0.2085270881652832,-0.17202595743510352,-1.6298750877966133,-0.8895862896023183,0.17697333263649107,-1.2595579851558294,-0.40332571858751387,-0.2831911787371778,-1.1563474665180118,-0.04974540266937773,0.3572352936708655,-0.8592207623998207,-0.5960887337366068,-0.3310368875790576,-0.6797694259634715,-0.3160480190097523,0.3076098406405545,-0.5406572127485523,-0.7144058037369634,-0.29748946949111754,-0.43165691140540074,-1.0620757838091348,0.15566514618413607,-0.0006080088969002695,-0.19415970459809098,-0.15566514618413613,0.0006080088969007136,0.19415970459809098,0.17253869088326312,0.9371725932624484,-0.376972717608966,-0.19770514957634833,0.8959602730823697,0.18876235407835376,0.20356784328956712,1.852429160830563,0.27070242461506255,-0.09021609901642247,1.8210149405694862,0.5984790974648697
0.272585391998291,-0.18956372786749698,-1.6188119805093466,-0.866780598909775,0.19477330929952286,-1.2255414457675016,-0.41994478581185185,-0.29512075662537196,-1.1268363289076198,-0.12920305110433405,0.40041616105412337,-0.7065872507683388,-0.49452424504913184,-0.3316777525396721,-0.6497294542690555,-0.29538664534804154,0.36118727004890827,-0.25334088421441114,-0.6151729221570168,-0.3168040087789986,-0.1977672395835226,-0.9994862278302945,0.15816251411921567,-0.005367438711958439,-0.15663459724279322,-0.15816251411921567,0.005367438711958439,0.15663459724279322,0.18150679493679378,0.9783868080721914,-0.15323807512081716,-0.19478807744395032,0.9586948163252331,0.2429051110039001,0.20645113116558123,1.8623906649578355,0.5587685954449324,-0.09889160644712225,1.857953286103283,0.7373788616574566
0.3403022289276123,-0.17105719705100575,-1.5995057346914554,-0.7973590453271546,0.2168185861385562,-1.2059015405796447,-0.42758109282586987,-0.2868425412175011,-1.1207409021074815,-0.1546074329909432,0.4033951681589082,-0.7136600954291006,-0.4819818395716242,-0.32168381325608797,-0.6344688509901539,-0.272099955142009,0.39235069980766457,-0.12741028633346962,-0.6083983777136673,-0.33303082668664824,-0.10856520405331871,-0.954915304978706,0.16297592908099012,-0.00880672165482732,-0.14311938514746061,-0.16297592908099012,0.00880672165482732,0.14311938514746061,0.17859129796319717,0.963293524040644,-0.05135381232443274,-0.16865232347254466,0.9620369913952054,0.31216763293305416,0.1995930545570681,1.8177219977946577,0.7169936637829839,-0.10133551578403377,1.835581102344145,0.9031291350331608
0.5255041122436523,-0.1424068133420774,-1.546614836553508,-0.7533707729400984,0.2304460853925029,-1.1639158635386817,-0.40945287664188557,-0.26466650121199886,-1.0943315433190364,-0.1274168435870309,0.39853997217555814,-0.7640692966364537,-0.46823552755881515,-0.3179964886594069,-0.6604757656653795,-0.23202990596909034,0.4203578010421837,-0.07530151353927783,-0.6400932795572706,-0.3487823185677638,-0.03545480676857471,-0.9332486477991015,0.16177867627125864,-0.006181473051426689,-0.1316222115077052,-0.16177867627125864,0.006181473051426689,0.1316222115077052,0.16955050007459926,0.9443903690393225,-0.07109703649378944,-0.15504462921144369,0.9423159099728466,0.27449724137011916,0.18820371421345994,1.7826964398611187,0.6371968278090596,-0.10923461822939262,1.7970833334814507,0.8091818581365229
0.5748121738433838,-0.1125831035926751,-1.5060161455074046,-0.7858834869731185,0.23908017876111187,-1.1174307190994022,-0.4093979524849002,-0.2417045905303471,-1.0761264724225241,-0.18390295507068233,0.4074449884372551,-0.7293254763755288,-0.4663865906829403,-0.3365129298563104,-0.702144541343056,-0.3683956550277022,0.46133680046486236,-0.023304504341492338,-0.6761351717717817,-0.4037738959930464,-0.17845706823813057,-1.1881645915408956,0.1584848772525067,0.00021977642579162904,-0.11208208332329883,-0.15848487725250682,-0.00021977642579162904,0.11208208332329883,0.15443818837784695,0.9346343805716617,0.006515098495097443,-0.15117369255829577,0.9170554533446076,0.2649153331785351,0.15545641458896364,1.762244301652455,0.7189516537408208,-0.13309663020877982,1.7629218877749047,0.8327493780490828
0.6409022808074951,-0.10558887533961986,-1.478615282122258,-0.7091727915234851,0.22825928748592816,-1.1047007570115566,-0.30682839760296127,-0.23662259575174305,-1.0502266233241733,-0.10450386271498521,0.40206802378009154,-0.7370751631606851,-0.39638121894338796,-0.371759253406338,-0.617375269730887,-0.48848462648060914,0.48792445123548256,-0.046685617044214034,-0.633220817375476,-0.4594749240454883,-0.5322525329722847,-1.4706534682710977,0.1571577821588228,-0.005652588926143398,-0.0961569788252111,-0.15715778215882292,0.005652588926143176,0.0961569788252111,0.15710236954841195,0.9182109328240626,-0.03629111657229603,-0.14505232139988233,0.9159288030800914,0.17781367937203052,0.15792261293279153,1.7424351762197592,0.6258820876685849,-0.13092711064540924,1.7529202056485973,0.6078442499493389
0.7080950736999512,-0.09524919673847854,-1.5011690132395286,-0.7110047857096786,0.22160918403047358,-1.1247946790634729,-0.29358569059416684,-0.24033028839606463,-1.0785184599986148,-0.015416469487038932,0.40113414720658624,-0.7404833488603131,-0.3971604559673431,-0.4090818594550339,-0.6433520973523463,-0.5019142425929188,0.5259088971628944,-0.13461530640707187,-0.6203703520609121,-0.4651566680620849,-0.8864993622833048,-1.48579505588611,0.1562159313526038,-0.0145394374221115,-0.14147517898459416,-0.1562159313526038,0.014539437422111279,0.14147517898459416,0.15298520059646437,0.9095996058833786,-0.1799402526405952,-0.14265165036743277,0.9103771893953363,0.26944727764318704,0.157795734130331,1.736942072330402,0.40501112134091344,-0.13206074036488363,1.7292013268692714,0.7031535914721023
0.7734432220458984,-0.08715596729535935,-1.4734943279654127,-0.7251248417350051,0.21241505797059546,-1.1300580927443162,-0.2874581198837162,-0.2349352427664535,-1.0821461239667922,0.009465778966749643,0.4018726314940618,-0.7330482265527922,-0.3445123226981784,-0.44602562857291095,-0.6842141175587975,-0.5170150646318864,0.5652618953948896,-0.19492706233257362,-0.5175067549114696,-0.4484560136537051,-1.0981557735178293,-1.4447215189774831,0.15118136520251768,-0.015578407815676876,-0.163673386251049,-0.15118136520251768,0.015578407815676654,0.163673386251049,0.1514107437183907,0.9149603739123418,-0.24820333983053772,-0.13453584732939955,0.9209083377828233,0.31976534253672884,0.16085218764264908,1.7442432123893448,0.288934840324848,-0.13959618070653845,1.7325571219533051,0.7725619390083127
